Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Source
2020-03-30,"
New York ",67325,"
",1342,,61674,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-03-30,"
New Jersey ",16636,"
",198,,16438,"
[1]  "
2020-03-30,"
California ",7426,178,149,4,7217,"
[1]  "
2020-03-30,"
Michigan ",6498,"
",184,,6309,"
[1] [2]  "
2020-03-30,"
Massachusetts ",5752,"
",56,,5686,"
[1] [2]  "
2020-03-30,"
Florida ",5704,"
",71,,5633,"
[1] [2]  "
2020-03-30,"
Washington ",5250,"
",210,,4550,"
[1] [2] [3] [4] [5] [6]  "
2020-03-30,"
Illinois ",5057,"
",73,,4982,"
[1] [2] [3]  "
2020-03-30,"
Pennsylvania ",4154,"
",51,,4103,"
[1] [2] [3] [4]  "
2020-03-30,"
Louisiana ",4025,"
",185,,3840,"
[1] [2]  "
2020-03-30,"
Texas ",3145,239,47,6,2991,"
[1] [2]  "
2020-03-30,"
Georgia ",3032,"
",102,,2930,"
[1] [2] [3]  "
2020-03-30,"
Colorado ",2627,"
",51,,2576,"
[1]  "
2020-03-30,"
Connecticut ",2627,"
",51,,2576,"
[1] [2] [3]  "
2020-03-30,"
Ohio ",1933,"
",39,,1894,"
[1] [2]  "
2020-03-30,"
Tennessee ",1928,"
",13,,1863,"
[1] [2]  "
2020-03-30,"
Indiana ",1786,"
",35,,1751,"
[1]  "
2020-03-30,"
Maryland ",1413,"
",15,,1355,"
[1] [2]  "
2020-03-30,"
North Carolina ",1373,"
",7,,1361,"
[1] [2]  "
2020-03-30,"
Wisconsin ",1285,"
",23,,1260,"
[1] [2] [3]  "
2020-03-30,"
Arizona ",1157,"
",20,,1134,"
[1]  "
2020-03-30,"
Missouri ",1031,"
",13,,1016,"
[1]  "
2020-03-30,"
Virginia ",1020,"
",25,,993,"
[1]  "
2020-03-30,"
Nevada ",1008,"
",15,,993,"
[1]  "
2020-03-30,"
Alabama ",935,"
",11,,924,"
[1] [2]  "
2020-03-30,"
South Carolina ",925,"
",18,,907,"
[1]  "
2020-03-30,"
Mississippi ",847,"
",16,,831,"
[1]  "
2020-03-30,"
Utah ",806,"
",4,,802,"
[1] [2]  "
2020-03-30,"
Oregon ",606,"
",16,,590,"
[1] [2] [3]  "
2020-03-30,"
Minnesota ",576,"
",10,,432,"
[1]  "
2020-03-30,"
Arkansas ",508,"
",7,,469,"
[1] [2]  "
2020-03-30,"
District Of Columbia ",495,"
",9,,435,"
[1]  "
2020-03-30,"
Oklahoma  ",481,"
",17,,463,"
[1]  "
2020-03-30,"
Kentucky ",480,"
",11,,405,"
[1]  "
2020-03-30,"
Iowa ",424,"
",6,,400,"
[1] [2] [3]  "
2020-03-30,"
Idaho ",415,"
",7,,408,"
[1] [2]  "
2020-03-30,"
Rhode Island ",408,"
",4,,404,"
[1] [2]  "
2020-03-30,"
Kansas ",368,"
",8,,360,"
[1] [2]  "
2020-03-30,"
New Hampshire ",314,"
",3,,311,"
[1] [2]  "
2020-03-30,"
New Mexico ",281,"
",4,,277,"
[1] [2]  "
2020-03-30,"
Maine ",275,"
",3,,231,"
[1] [2]  "
2020-03-30,"
Delaware ",264,"
",6,,249,"
[1] [2] [3]  "
2020-03-30,"
Vermont ",256,"
",12,,244,"
[1]  "
2020-03-30,"
Hawaii ",204,"
","
",,204,"
[1] [2]  "
2020-03-30,"
Montana ",171,"
",4,,167,"
[1] [2]  "
2020-03-30,"
Nebraska ",153,"
",3,1,150,"
[1] [2] [3]  "
2020-03-30,"
West Virginia ",145,"
",1,,144,"
[1]  "
2020-03-30,"
Alaska ",119,5,3,1,116,"
[1] [2]  "
2020-03-30,"
North Dakota ",109,"
",3,1,86,"
[1]  "
2020-03-30,"
South Dakota ",101,"
",1,,66,"
[1]  "
2020-03-30,"
Wyoming ",95,"
","
",,95,"
[1]  "
2020-03-30,"
Guam ",58,"
",1,,50,"
"
2020-03-30,"
Northern Mariana Islands ",2,"
","
",,2,"
"
2020-03-30,"
Puerto Rico ",174,"
",7,1,163,"
[1]  "
2020-03-30,"
United States Virgin Islands ",30,"
","
",,30,"
[1]  "
2020-03-30,"
Wuhan Repatriated ",3,"
","
",,3,"
"
2020-03-30,"
Diamond Princess Cruise ",46,"
","
",,46,"
"
2020-03-30,Total:,164266,422,3170,14,155589, 
