Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-27,USA Total,1010507,151,56803,6,814542,3053,172,5696928,17211, 
2020-04-27,"
New York ",298004,"
","
22,623 ", ,"
229,824 ",15190,1153,"
826,095 ",42108,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-27,"
New Jersey ",111188,"
","
6,044 ", ,"
103,873 ",12519,680,"
227,390 ",25602,"
[1] [2] [3]  "
2020-04-27,"
Massachusetts ",56462,"
","
3,003 ", ,"
45,341 ",8267,440,"
244,887 ",35854,"
[1] [2]  "
2020-04-27,"
Illinois ",45883,"
","
1,983 ", ,"
43,294 ",3579,155,"
227,628 ",17754,"
[1] [2] [3] [4]  "
2020-04-27,"
California ",45157,"
+151 ","
1,782 ",6,"
40,038 ",1153,46,"
526,084 ",13438,"
[1] [2] [3] [4]  "
2020-04-27,"
Pennsylvania ",43155,"
","
1,860 ", ,"
40,603 ",3374,145,"
203,422 ",15903,"
[1] [2] [3] [4] [5] [6]  "
2020-04-27,"
Michigan ",38210,"
","
3,407 ", ,"
26,461 ",3837,342,"
163,213 ",16391,"
[1] [2] [3]  "
2020-04-27,"
Florida ",32138,"
","
1,088 ", ,"
30,364 ",1560,53,"
358,127 ",17386,"
[1] [2]  "
2020-04-27,"
Louisiana ",27068,"
","
1,740 ", ,"
8,025 ",5804,373,"
146,989 ",31518,"
[1] [2]  "
2020-04-27,"
Connecticut ",25997,"
","
2,012 ", ,"
23,920 ",7259,562,"
90,746 ",25337,"
[1] [2]  "
2020-04-27,"
Texas ",25516,"
","
672 ", ,"
13,674 ",915,24,"
290,517 ",10418,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-27,"
Georgia ",24225,"
","
994 ", ,"
23,200 ",2353,97,"
127,169 ",12350,"
[1]  "
2020-04-27,"
Maryland ",19487,"
","
945 ", ,"
17,279 ",3246,157,"
104,976 ",17486,"
[1]  "
2020-04-27,"
Ohio ",16325,"
","
753 ", ,"
15,452 ",1402,65,"
119,391 ",10255,"
[1] [2] [3]  "
2020-04-27,"
Indiana ",15961,"
","
932 ", ,"
15,015 ",2405,140,"
84,476 ",12727,"
[1] [2]  "
2020-04-27,"
Colorado ",13879,"
","
706 ", ,"
12,614 ",2509,128,"
66,341 ",11994,"
[1]  "
2020-04-27,"
Washington ",13686,"
","
765 ", ,"
11,114 ",1876,105,"
179,679 ",24633,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-27,"
Virginia ",13535,"
","
458 ", ,"
11,262 ",1609,54,"
80,180 ",9530,"
[1] [2]  "
2020-04-27,"
Tennessee ",9918,"
","
184 ", ,"
5,014 ",1491,28,"
154,402 ",23215,"
[1] [2] [3] [4]  "
2020-04-27,"
North Carolina ",9415,"
","
336 ", ,"
7,777 ",927,33,"
109,920 ",10824,"
[1] [2] [3] [4]  "
2020-04-27,"
Rhode Island ",7708,"
","
233 ", ,"
7,133 ",7295,221,"
55,885 ",52891,"
[1]  "
2020-04-27,"
Missouri ",7239,"
","
300 ", ,"
6,392 ",1189,49,"
70,932 ",11647,"
[1] [2] [3] [4] [5] [6] [7]  "
2020-04-27,"
Arizona ",6716,"
","
275 ", ,"
6,371 ",967,40,"
66,543 ",9579,"
[1]  "
2020-04-27,"
Alabama ",6539,"
","
228 ", ,"
6,291 ",1344,47,"
74,162 ",15245,"
[1]  "
2020-04-27,"
Mississippi ",6094,"
","
229 ", ,"
5,865 ",2039,77,"
63,462 ",21234,"
[1] [2]  "
2020-04-27,"
Wisconsin ",6081,"
","
281 ", ,"
3,487 ",1052,49,"
67,392 ",11663,"
[1] [2] [3] [4] [5] [6]  "
2020-04-27,"
Iowa ",5868,"
","
127 ", ,"
3,720 ",1873,41,"
38,150 ",12179,"
[1] [2]  "
