Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-11,USA Total,"1,385,834",,"81,795",,"1,041,814","4,187",247,"9,619,855","29,063", , 
2020-05-11,"
New York  ","347,151 ","
","
27,003 ", ,"
261,785 ","17,845","1,388","
1,204,650 ","61,924","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-11,"
New Jersey ","141,137 ","
","
9,341 ", ,"
130,247 ","15,890","1,052","
425,933 ","47,954","
[view by county] [1]  ","
[projections]
"
2020-05-11,"
Illinois ","79,007 ","
","
3,459 ", ,"
74,903 ","6,235",273,"
442,425 ","34,914","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-11,"
Massachusetts ","78,462 ","
","
5,108 ", ,"
51,206 ","11,384",741,"
394,728 ","57,269","
[1] [2]  ","
[projections]
"
2020-05-11,"
California ","69,203 ","
","
2,778 ", ,"
55,297 ","1,751",70,"
994,820 ","25,178","
[view by county] [1]  ","
[projections]
"
2020-05-11,"
Pennsylvania ","60,576 ","
","
3,841 ", ,"
55,635 ","4,732",300,"
298,235 ","23,296","
[view by county] [1]  ","
[projections]
 "
2020-05-11,"
Michigan ","47,552 ","
","
4,584 ", ,"
20,282 ","4,761",459,"
308,233 ","30,864","
[1] [2] [3]  ","
[projections]
"
2020-05-11,"
Florida ","40,982 ","
","
1,735 ", ,"
38,201 ","1,908",81,"
561,741 ","26,155","
[view by county] [1]  ","
[projections]
"
2020-05-11,"
Texas ","40,855 ","
","
1,153 ", ,"
16,110 ","1,409",40,"
525,787 ","18,133","
[view by county] [1]  ","
[projections]
"
2020-05-11,"
Georgia ","34,002  ","
","
1,444 ", ,"
32,218 ","3,202",136,"
251,288 ","23,668","
[1]  ","
[projections]
"
2020-05-11,"
Connecticut ","33,765 ","
","
3,008 ", ,"
30,692 ","9,470",844,"
132,508 ","37,166","
[1]  ","
[projections]
"
2020-05-11,"
Maryland ","33,373 ","
","
1,683 ", ,"
29,392 ","5,520",278,"
164,780 ","27,256","
[1]  ","
[projections]
"
2020-05-11,"
Louisiana ","31,815 ","
","
2,308 ", ,"
9,191 ","6,844",496,"
220,830 ","47,503","
[view by county] [1]  ","
[projections]
"
2020-05-11,"
Virginia ","25,070 ","
","
850 ", ,"
21,096 ","2,937",100,"
167,758 ","19,654","
[1] [2]  ","
[projections]
"
2020-05-11,"
Ohio ","24,787 ","
","
1,360 ", ,"
22,979 ","2,121",116,"
210,530 ","18,011","
[view by county] [1] [2] [3]  ","
[projections]
"
2020-05-11,"
Indiana ","24,627 ","
","
1,540 ", ,"
21,396 ","3,658",229,"
146,688 ","21,789","
[1] [2]  ","
[projections]
"
2020-05-11,"
Colorado ","19,879 ","
","
987 ", ,"
18,280 ","3,452",171,"
108,790 ","18,891","
[1]  ","
[projections]
"
2020-05-11,"
Washington ","17,890 ","
","
953 ", ,"
13,219 ","2,349",125,"
248,875 ","32,683","
[view by county] [1]  ","
[projections]
"
2020-05-11,"
Tennessee ","15,544 ","
","
251 ", ,"
7,255 ","2,276",37,"
273,277 ","40,016","
[1] [2] [3]  ","
[projections]
"
2020-05-11,"
North Carolina ","15,273 ","
","
575 ", ,"
12,272 ","1,456",55,"
195,865 ","18,675","
[1] [2] [3] [4]  ","
[projections]
"
2020-05-11,"
Iowa ","12,373 ","
","
271 ", ,"
6,853 ","3,922",86,"
77,792 ","24,656","
[1] [2]  ","
[projections]
"
2020-05-11,"
Minnesota ","11,799 ","
","
591 ", ,"
3,672 ","2,092",105,"
115,781 ","20,530","
[1] [2]  ","
[projections]
"
2020-05-11,"
Rhode Island ","11,450 ","
","
430 ", ,"
10,290 ","10,808",406,"
93,332 ","88,102","
[1]  ","
[projections]
"
2020-05-11,"
Arizona ","11,380 ","
","
542 ", ,"
10,768 ","1,563",74,"
150,241 ","20,641","
[1]  ","
[projections]
"
2020-05-11,"
Wisconsin ","10,418 ","
","
409 ", ,"
4,995 ","1,789",70,"
118,451 ","20,344","
[1] [2] [3] [4] [5] [6]  ","
[projections]
"
2020-05-11,"
Alabama ","10,164 ","
","
403 ", ,"
9,741 ","2,073",82,"
129,444 ","26,400","
[1]  ","
[projections]
"
2020-05-11,"
Missouri ","10,149 ","
","
507 ", ,"
7,113 ","1,654",83,"
115,546 ","18,826","
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-11,"
Mississippi ","9,674 ","
","
435 ", ,"
4,818 ","3,251",146,"
95,885 ","32,218","
[1] [2]  ","
[projections]
"
2020-05-11,"
Nebraska ","8,572 ","
","
100 ", ,"
 8,450 ","4,431",52,"
48,019 ","24,824","
[1] [2]  ","
[projections]
"
2020-05-11,"
South Carolina ","7,792 ","
","
346 ", ,"
2,565 ","1,513",67,"
89,968 ","17,474","
[1] [2]  ","
[projections]
"
2020-05-11,"
Kansas ","7,143 ","
","
180 ", ,"
5,288 ","2,452",62,"
54,109 ","18,573","
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-11,"
Kentucky ","6,677 ","
","
311 ", ,"
 4,031 ","1,495",70,"
104,001 ","23,279","
[1]  ","
[projections]
"
2020-05-11,"
Delaware ","6,565 ","
","
225 ", ,"
3,721 ","6,742",231,"
31,928 ","32,788","
[1]  ","
[projections]
"
2020-05-11,"
District Of Columbia ","6,389 ","
","
328 ", ,"
5,180 ","9,053",465,"
30,261 ","42,878","
[1]  ","
[projections]
"
2020-05-11,"
Utah ","6,362 ","
","
68 ", ,"
3,113 ","1,984",21,"
150,585 ","46,970","
[1]  ","
 [projections]
"
2020-05-11,"
Nevada ","6,152 ","
","
312 ", ,"
1,643 ","1,997",101,"
72,970 ","23,690","
[1] [2]  ","
[projections]
"
2020-05-11,"
New Mexico ","5,069 ","
","
208 ", ,"
3,561 ","2,417",99,"
106,721 ","50,896","
[1] [2]  ","
[projections]
"
2020-05-11,"
Oklahoma ","4,613 ","
","
274 ", ,"
1,135 ","1,166",69,"
95,869 ","24,228","
[1] [2]  ","
[projections]
"
2020-05-11,"
Arkansas ","4,043  ","
","
94 ", ,"
800 ","1,340",31,"
70,323 ","23,303","
[1]  ","
[projections]
"
2020-05-11,"
South Dakota ","3,517 ","
","
34 ", ,"
1,296 ","3,976",38,"
24,578 ","27,782","
[1]  ","
[projections]
"
2020-05-11,"
Oregon ","3,286 ","
","
130 ", ,"
2,031 ",779,31,"
77,542 ","18,385","
[1] [2]  ","
[projections]
"
2020-05-11,"
New Hampshire ","3,160 ","
","
133 ", ,"
1,796 ","2,324",98,"
35,561 ","26,153","
[1]  ","
[projections]
"
2020-05-11,"
Idaho ","2,260 ","
","
70 ", ,"
811 ","1,265",39,"
31,961 ","17,885","
[1] [2]  ","
[projections]
"
2020-05-11,"
North Dakota ","1,518 ","
","
36 ", ,"
636 ","1,992",47,"
47,014 ","61,693","
[1]  ","
[projections]
"
2020-05-11,"
Maine ","1,462 ","
","
65 ", ,"
525 ","1,088",48,"
23,500 ","17,482","
[1] [2]  ","
[projections]
"
2020-05-11,"
West Virginia ","1,369 ","
","
57 ", ,"
509 ",764,32,"
64,165 ","35,803","
[1]  ","
[projections]
"
2020-05-11,"
Vermont ",927 ,"
","
53 ", ,"
89 ","1,486",85,"
20,871 ","33,448","
[1]  ","
[projections]
"
2020-05-11,"
Wyoming ",669 ,"
","
7 ", ,"
211 ","1,156",12,"
13,416 ","23,181","
[1] [2]  ","
[projections]
"
2020-05-11,"
Hawaii ",634 ,"
","
17 ", ,"
56 ",448,12,"
37,712 ","26,635","
[1] [2]  ","
[projections]
"
2020-05-11,"
Montana ",459 ,"
","
16 ", ,"
20 ",429,15,"
22,572 ","21,119","
[1] [2] [3]  ","
[projections]
"
2020-05-11,"
Alaska ",381 ,"
","
10 ", ,"
43 ",521,14,"
28,680 ","39,205","
[1]  ","
[projections]
"
2020-05-11,"
Guam ",151 ,"
","
5 ", ,"
15 ",,,"
605
",,"
[1]  ","
"
2020-05-11,"
Northern Mariana Islands ",19 ,"
","
2 ", ,"
5 ",,,"
2,695
",,"
[1] [2]  ","
"
2020-05-11,"
Puerto Rico ","2,256  ","
","
113 ", ,"
1,397 ",666,33,"
13,022
","3,845","
[1] [2] [3]  ","
"
2020-05-11,"
United States Virgin Islands ",69 ,"
","
5 ", ,"
4 ",,,"
1,215
",,"
[1] [2]  ","
"
2020-05-11,"
Veteran Affairs ","11,163 ","
","
870 ", ,"
2,753 ",,,"
129,181
",,"
[1] [2]  ","
"
2020-05-11,"
US Military ","8,046 ","
","
27 ", ,"
4,555 ",,,"
",,"
[1] [2]  ","
"
2020-05-11,"
Federal Prisons ","3,629 ","
","
49 ", ,"
2,645 ",,,"
",,"
[1]  ","
"
2020-05-11,"
Navajo Nation ","2,973 ","
","
98 ", ,"
2,875 ",,,"
16,549
",,"
[1]  ","
"
2020-05-11,"
Grand Princess Ship ",103 ,"
","
3 ", ,"
100 ",,,"
",,"
[1]  ","
"
2020-05-11,"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ",,,"
3
",,"
 ","
"
2020-05-11,"
Diamond Princess Ship ",46 ,"
","
", ,"
46 ",,,"
46
",,"
 ","
"
2020-05-11,Total:,"1,385,834",,"81,795",,"1,041,814","4,187",247,"9,619,855","29,063", , 
