Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source,Projections
2020-05-15,USA Total,1484285,,88507,,1068027,4484,267,11090900,33507, , 
2020-05-15,"
New York ",356016,"
","
27,574 ", ,"
267,744 ",18301,1417,"
1,346,814 ",69232,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  ","
[projections]
"
2020-05-15,"
New Jersey ",145490,"
","
10,150 ", ,"
132,066 ",16380,1143,"
462,972 ",52124,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
Illinois ",90369,"
","
4,058 ", ,"
84,279 ",7131,320,"
538,602 ",42504,"
[1] [2] [3] [4]  ","
[projections]
"
2020-05-15,"
Massachusetts ",83421,"
","
5,592 ", ,"
50,017 ",12103,811,"
435,679 ",63211,"
[1] [2]  ","
[projections]
"
2020-05-15,"
California ",76819,"
","
3,153 ", ,"
60,752 ",1944,80,"
1,161,403 ",29394,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
Pennsylvania ",64261,"
","
4,429 ", ,"
53,321 ",5020,346,"
330,617 ",25825,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
Michigan ",50079,"
","
4,825 ", ,"
22,568 ",5014,483,"
369,187 ",36967,"
[1] [2] [3]  ","
[projections]
"
2020-05-15,"
Texas ",46787,"
","
1,308 ", ,"
19,269 ",1614,45,"
650,213 ",22424,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
Florida ",44138,"
","
1,918 ", ,"
34,841 ",2055,89,"
629,895 ",29328,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
Maryland ",36986,"
","
1,911 ", ,"
32,619 ",6118,316,"
182,826 ",30241,"
[1]  ","
[projections]
"
2020-05-15,"
Georgia ",36772,"
","
1,588 ", ,"
34,844 ",3463,150,"
301,874 ",28432,"
[1]  ","
[projections]
"
2020-05-15,"
Connecticut  ",36085,"
","
3,285 ", ,"
26,536 ",10121,921,"
155,908 ",43729,"
[1]  ","
[projections]
"
2020-05-15,"
Louisiana ",33837,"
","
2,448 ", ,"
8,781 ",7279,527,"
253,319 ",54491,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
Virginia ",28672,"
","
977 ", ,"
24,017 ",3359,114,"
195,636 ",22920,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Ohio ",26961,"
","
1,584 ", ,"
21,209 ",2307,136,"
246,182 ",21061,"
[view by county] [1] [2] [3]  ","
[projections]
"
2020-05-15,"
Indiana ",26655,"
","
1,691 ", ,"
23,095 ",3959,251,"
165,448 ",24576,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Colorado ",21232,"
","
1,150 ", ,"
18,660 ",3687,200,"
119,759 ",20796,"
[1]  ","
[projections]
"
2020-05-15,"
Washington ",18779,"
","
1,005 ", ,"
13,245 ",2466,132,"
 268,221 ",35223,"
[view by county] [1]  ","
[projections]
"
2020-05-15,"
North Carolina ",17494,"
","
667 ", ,"
7,712 ",1668,64,"
231,547 ",22077,"
[1] [2] [3] [4]  ","
[projections]
"
2020-05-15,"
 Tennessee ",16970,"
","
290 ", ,"
7,391 ",2485,42,"
309,756 ",45358,"
[1] [2] [3]  ","
[projections]
"
2020-05-15,"
Minnesota ",14240,"
","
692 ", ,"
4,045 ",2525,123,"
134,669 ",23879,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Iowa ",14049,"
","
336 ", ,"
7,152 ",4453,106,"
93,566 ",29656,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Arizona ",13169,"
","
651 ", ,"
12,448 ",1809,89,"
186,904 ",25678,"
[1]  ","
[projections]
"
2020-05-15,"
Rhode Island ",12219,"
","
479 ", ,"
10,854 ",11534,452,"
104,978 ",99096,"
[1]  ","
[projections]
"
2020-05-15,"
Wisconsin ",11685,"
","
445 ", ,"
5,047 ",2007,76,"
140,342 ",24104,"
[1] [2] [3] [4] [5] [6]  ","
[projections]
"
2020-05-15,"
Alabama ",11373,"
","
483 ", ,"
10,870 ",2320,99,"
149,624 ",30516,"
[1]  ","
[projections]
"
2020-05-15,"
Mississippi ",10801,"
","
493 ", ,"
4,040 ",3629,166,"
106,823 ",35893,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Missouri ",10734,"
","
581 ", ,"
7,346 ",1749,95,"
134,458 ",21908,"
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-15,"
Nebraska ",9772,"
","
119 ", ,"
9,631 ",5052,62,"
60,092 ",31065,"
[1] [2]  ","
[projections]
"
2020-05-15,"
South Carolina ",8407,"
","
380 ", ,"
2,951 ",1633,74,"
109,616 ",21290,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Kansas ",7886,"
","
193 ", ,"
5,216 ",2707,66,"
61,592 ",21142,"
[1] [2] [3] [4] [5] [6] [7]  ","
[projections]
"
2020-05-15,"
Kentucky ",7444,"
","
332 ", ,"
4,373 ",1666,74,"
127,698 ",28583,"
[1]  ","
[projections]
"
2020-05-15,"
Delaware ",7373,"
","
271 ", ,"
3,892 ",7572,278,"
38,278 ",39309,"
[1]  ","
[projections]
"
2020-05-15,"
Utah ",6913,"
","
77 ", ,"
3,118 ",2156,24,"
163,218 ",50911,"
[1]  ","
[projections]
"
2020-05-15,"
District Of Columbia ",6871,"
","
368 ", ,"
5,528 ",9736,521,"
34,339 ",48656,"
[1]  ","
[projections]
"
2020-05-15,"
Nevada  ",6614,"
","
345 ", ,"
1,230 ",2147,112,"
85,791 ",27853,"
[1] [2]  ","
[projections]
"
2020-05-15,"
New Mexico ",5662,"
","
253 ", ,"
3,738 ",2700,121,"
124,458 ",59355,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Oklahoma ",5086,"
","
285 ", ,"
1,000 ",1285,72,"
118,192 ",29869,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Arkansas ",4463,"
","
98 ", ,"
975 ",1479,32,"
81,529 ",27016,"
[1]  ","
[projections]
"
2020-05-15,"
South Dakota ",3887,"
","
44 ", ,"
1,269 ",4394,50,"
27,414 ",30988,"
[1]  ","
[projections]
"
2020-05-15,"
Oregon ",3541,"
","
137 ", ,"
1,998 ",840,32,"
89,444 ",21207,"
[1] [2]  ","
[projections]
"
2020-05-15,"
New Hampshire ",3464,"
","
159 ", ,"
2,051 ",2548,117,"
53,405 ",39277,"
[1]  ","
[projections]
"
2020-05-15,"
Idaho ",2389,"
","
73 ", ,"
937 ",1337,41,"
34,745 ",19442,"
[1] [2]  ","
[projections]
"
2020-05-15,"
North Dakota ",1761,"
","
42 ", ,"
648 ",2311,55,"
51,715 ",67862,"
[1]  ","
[projections]
"
2020-05-15,"
Maine ",1603,"
","
69 ", ,"
541 ",1193,51,"
33,035 ",24576,"
[1] [2]  ","
[projections]
"
2020-05-15,"
West Virginia ",1447,"
","
64 ", ,"
494 ",807,36,"
71,682 ",39998,"
[1]  ","
[projections]
"
2020-05-15,"
Vermont ",933,"
","
53 ", ,"
84 ",1495,85,"
23,205 ",37188,"
[1]  ","
[projections]
"
2020-05-15,"
Wyoming ",716,"
","
7 ", ,"
229 ",1237,12,"
16,022 ",27683,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Hawaii ",638,"
","
17 ", ,"
56 ",451,12,"
38,776 ",27387,"
[1] [2]  ","
[projections]
"
2020-05-15,"
Montana ",466,"
","
16 ", ,"
19 ",436,15,"
25,418 ",23782,"
[1] [2] [3]  ","
 [projections]
"
2020-05-15,"
Alaska ",388,"
","
10 ", ,"
35 ",530,14,"
32,418 ",44314,"
[1]  ","
[projections]
"
2020-05-15,"
Guam ",154,"
","
5 ", ,"
18 ",,,"
605
",,"
[1]  ","
"
2020-05-15,"
Northern Mariana Islands ",19,"
","
2 ", ,"
5 ",,,"
3,325
",,"
[1] [2]  ","
"
2020-05-15,"
Puerto Rico ",2542,"
","
122 ", ,"
1,674 ",751,36,"
13,022
",3845,"
[1] [2] [3]  ","
"
2020-05-15,"
United States Virgin Islands ",69,"
","
6 ", ,"
2 ",,,"
1,278
",,"
[1] [2]  ","
"
2020-05-15,"
Veteran Affairs ",11897,"
","
985 ", ,"
2,083 ",,,"
143,876
",,"
[1] [2]  ","
"
2020-05-15,"
US Military ",8374,"
","
27 ", ,"
4,397 ",,,"
",,"
[1] [2]  ","
"
2020-05-15,"
Navajo Nation ",3632,"
","
127 ", ,"
3,505 ",,,"
19,441
",,"
[1]  ","
"
2020-05-15,"
Federal Prisons ",3629,"
","
55 ", ,"
1,413 ",,,"
",,"
[1]  ","
"
2020-05-15,"
Grand Princess Ship ",103,"
","
3 ", ,"
100 ",,,"
",,"
[1]  ","
"
2020-05-15,"
Wuhan Repatriated ",3,"
","
", ,"
3 ",,,"
3
",,"
 ","
"
2020-05-15,"
Diamond Princess Ship ",46,"
","
", ,"
46 ",,,"
46
",,"
 ","
"
2020-05-15,Total:,1484285,,88507,,1068027,4484,267,11090900,33507, , 
