Date,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
2020-04-20,USA Total,792938,179,42518,4,678031,2396.0,128.0,4027367,12167.0, 
2020-04-20,"
New York ",252094,"
","
18,929 ", ,"
209,278 ",12850.0,965.0,"
633,861 ",32309.0,"
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
2020-04-20,"
New Jersey ",88806,"
","
4,377 ", ,"
83,158 ",9999.0,493.0,"
179,682 ",20230.0,"
[1] [2]  "
2020-04-20,"
Massachusetts  ",39643,"
","
1,809 ", ,"
29,716 ",5804.0,265.0,"
169,398 ",24801.0,"
[1] [2]  "
2020-04-20,"
Pennsylvania ",33914,"
","
1,348 ", ,"
31,916 ",2651.0,105.0,"
162,952 ",12739.0,"
[1] [2] [3] [4] [5] [6]  "
2020-04-20,"
California ",33865,"
+179 ","
1,227 ",4,"
31,288 ",865.0,31.0,"
280,900 ",7175.0,"
[1] [2] [3]  "
2020-04-20,"
Michigan ",32000,"
","
2,468 ", ,"
26,295 ",3214.0,248.0,"
118,265 ",11877.0,"
[1] [2] [3]  "
2020-04-20,"
Illinois ",31508,"
","
1,349 ", ,"
29,553 ",2457.0,105.0,"
148,358 ",11571.0,"
[1] [2] [3] [4]  "
2020-04-20,"
Florida ",27058,"
","
823 ", ,"
25,549 ",1314.0,40.0,"
273,552 ",13280.0,"
[1] [2]  "
2020-04-20,"
Louisiana ",24523,"
","
1,328 ", ,"
23,145 ",5258.0,285.0,"
141,835 ",30413.0,"
[1]  "
2020-04-20,"
Texas ",19822,"
","
505 ", ,"
14,511 ",711.0,18.0,"
190,394 ",6828.0,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11]  "
2020-04-20,"
Connecticut ",19815,"
","
1,331 ", ,"
18,419 ",5533.0,372.0,"
62,806 ",17536.0,"
[1] [2]  "
2020-04-20,"
Georgia ",19399,"
","
775 ", ,"
18,593 ",1884.0,75.0,"
84,328 ",8189.0,"
[1] [2] [3]  "
2020-04-20,"
Maryland ",13684,"
","
582 ", ,"
12,185 ",2279.0,97.0,"
71,397 ",11893.0,"
[1]  "
2020-04-20,"
Ohio ",12919,"
","
509 ", ,"
12,290 ",1110.0,44.0,"
90,839 ",7803.0,"
[1] [2] [3]  "
2020-04-20,"
Washington ",12085,"
","
652 ", ,"
9,651 ",1657.0,89.0,"
141,011 ",19332.0,"
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
2020-04-20,"
Indiana ",11686,"
","
569 ", ,"
11,103 ",1761.0,86.0,"
64,639 ",9739.0,"
[1] [2]  "
2020-04-20,"
Colorado ",10106,"
","
449 ", ,"
9,159 ",1827.0,81.0,"
47,466 ",8582.0,"
[1]  "
2020-04-20,"
Virginia ",8990,"
","
300 ", ,"
7,366 ",1068.0,36.0,"
56,735 ",6743.0,"
[1] [2]  "
2020-04-20,"
Tennessee ",7238,"
","
152 ", ,"
3,852 ",1088.0,23.0,"
97,098 ",14599.0,"
[1] [2] [3]  "
2020-04-20,"
North Carolina ",6867,"
","
210 ", ,"
5,774 ",676.0,21.0,"
79,484 ",7827.0,"
[1] [2] [3] [4]  "
2020-04-20,"
Missouri ",5831,"
","
205 ", ,"
5,079 ",957.0,34.0,"
56,986 ",9357.0,"
[1] [2] [3] [4] [5] [6] [7] [8]  "
2020-04-20,"
Rhode Island ",5090,"
","
155 ", ,"
4,925 ",4817.0,147.0,"
37,080 ",35093.0,"
[1] [2] [3]  "
2020-04-20,"
Alabama ",5078,"
","
164 ", ,"
4,894 ",1044.0,34.0,"
45,712 ",9397.0,"
[1]  "
2020-04-20,"
Arizona ",5064,"
","
187 ", ,"
4,807 ",729.0,27.0,"
54,500 ",7845.0,"
[1]  "
2020-04-20,"
Mississippi ",4512,"
","
169 ", ,"
4,343 ",1510.0,57.0,"
51,434 ",17209.0,"
[1] [2]  "
2020-04-20,"
Wisconsin ",4499,"
","
230 ", ,"
4,075 ",779.0,40.0,"
51,102 ",8844.0,"
[1] [2] [3] [4] [5] [6]  "
2020-04-20,"
South Carolina ",4439,"
","
124 ", ,"
1,577 ",896.0,25.0,"
40,480 ",8168.0,"
[1] [2]  "
2020-04-20,"
Nevada ",3830,"
","
158 ", ,"
2,503 ",1310.0,54.0,"
39,528 ",13524.0,"
[1] [2]  "
2020-04-20,"
Utah ",3213,"
","
28 ", ,"
2,506 ",1055.0,9.0,"
68,311 ",22431.0,"
[1]  "
2020-04-20,"
Iowa ",3159,"
","
79 ", ,"
1,845 ",1008.0,25.0,"
25,820 ",8243.0,"
[1]  "
2020-04-20,"
Kentucky ",3050,"
","
154 ", ,"
1,774 ",687.0,35.0,"
32,820 ",7392.0,"
[1]  "
2020-04-20,"
District Of Columbia ",2927,"
","
105 ", ,"
2,192 ",4276.0,153.0,"
14,113 ",20618.0,"
[1]  "
2020-04-20,"
Delaware ",2745,"
","
72 ", ,"
2,178 ",2891.0,76.0,"
16,470 ",17346.0,"
[1]  "
2020-04-20,"
Oklahoma ",2680,"
","
143 ", ,"
1,003 ",684.0,36.0,"
35,536 ",9070.0,"
[1] [2]  "
