date,case_us,tweet_us,sentiment_us,case_AL,case_AK,case_AZ,case_AR,case_CA,case_CO,case_CT,case_DE,case_DC,case_FL,case_GA,case_HI,case_ID,case_IL,case_IN,case_IA,case_KS,case_KY,case_LA,case_ME,case_MD,case_MA,case_MI,case_MN,case_MS,case_MO,case_MT,case_NE,case_NV,case_NH,case_NJ,case_NM,case_NY,case_NC,case_ND,case_OH,case_OK,case_OR,case_PA,case_RI,case_SC,case_SD,case_TN,case_TX,case_UT,case_VT,case_VA,case_WA,case_WV,case_WI,case_WY,tweet_AL,tweet_AK,tweet_AZ,tweet_AR,tweet_CA,tweet_CO,tweet_CT,tweet_DE,tweet_DC,tweet_FL,tweet_GA,tweet_HI,tweet_ID,tweet_IL,tweet_IN,tweet_IA,tweet_KS,tweet_KY,tweet_LA,tweet_ME,tweet_MD,tweet_MA,tweet_MI,tweet_MN,tweet_MS,tweet_MO,tweet_MT,tweet_NE,tweet_NV,tweet_NH,tweet_NJ,tweet_NM,tweet_NY,tweet_NC,tweet_ND,tweet_OH,tweet_OK,tweet_OR,tweet_PA,tweet_RI,tweet_SC,tweet_SD,tweet_TN,tweet_TX,tweet_UT,tweet_VT,tweet_VA,tweet_WA,tweet_WV,tweet_WI,tweet_WY,sentiment_AL,sentiment_AK,sentiment_AZ,sentiment_AR,sentiment_CA,sentiment_CO,sentiment_CT,sentiment_DE,sentiment_DC,sentiment_FL,sentiment_GA,sentiment_HI,sentiment_ID,sentiment_IL,sentiment_IN,sentiment_IA,sentiment_KS,sentiment_KY,sentiment_LA,sentiment_ME,sentiment_MD,sentiment_MA,sentiment_MI,sentiment_MN,sentiment_MS,sentiment_MO,sentiment_MT,sentiment_NE,sentiment_NV,sentiment_NH,sentiment_NJ,sentiment_NM,sentiment_NY,sentiment_NC,sentiment_ND,sentiment_OH,sentiment_OK,sentiment_OR,sentiment_PA,sentiment_RI,sentiment_SC,sentiment_SD,sentiment_TN,sentiment_TX,sentiment_UT,sentiment_VT,sentiment_VA,sentiment_WA,sentiment_WV,sentiment_WI,sentiment_WY
1/22/20,1,5070,0.4169625246548324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,15,94,22,607,125,41,22,19,277,282,16,15,140,52,22,26,57,40,20,161,208,97,108,26,77,8,30,52,8,109,34,423,134,3,122,33,76,180,11,27,9,82,433,18,7,125,462,26,67,1,0.5714285714285714,0.4666666666666667,0.5319148936170213,0.5909090909090909,0.5518945634266886,0.592,0.7317073170731707,0.5,0.631578947368421,0.6245487364620939,0.5921985815602837,0.75,0.8666666666666667,0.5857142857142857,0.6538461538461539,0.5454545454545454,0.5,0.47368421052631576,0.6,0.3,0.6459627329192547,0.6682692307692307,0.5463917525773195,0.5555555555555556,0.5769230769230769,0.6753246753246753,0.625,0.7,0.5,0.625,0.4036697247706422,0.38235294117647056,0.6004728132387707,0.6716417910447762,0.3333333333333333,0.6557377049180327,0.696969696969697,0.5,0.5277777777777778,0.5454545454545454,0.6296296296296297,0.2222222222222222,0.6219512195121951,0.6420323325635104,0.5555555555555556,0.7142857142857143,0.624,0.6277056277056277,0.6538461538461539,0.5970149253731343,1.0
1/23/20,1,29788,0.19495913908892307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150,85,642,181,4008,561,277,126,97,1972,1167,97,110,840,364,129,192,321,252,146,628,921,692,532,136,469,89,163,366,70,622,139,2254,717,16,755,217,499,975,56,271,91,559,3170,158,27,743,2238,127,319,52,0.3875968992248062,0.4142857142857143,0.3978102189781022,0.4339622641509434,0.44663334313437225,0.48394495412844035,0.423728813559322,0.4519230769230769,0.5384615384615384,0.40353982300884955,0.44180790960451977,0.5061728395061729,0.45263157894736844,0.45571428571428574,0.4519230769230769,0.5420560747663551,0.41566265060240964,0.48484848484848486,0.39622641509433965,0.46825396825396826,0.5267665952890792,0.45582047685834504,0.44201680672268906,0.4363207547169811,0.4090909090909091,0.4744897959183674,0.3950617283950617,0.49624060150375937,0.44904458598726116,0.5,0.42884990253411304,0.4666666666666667,0.4380120152921901,0.4391080617495712,0.46153846153846156,0.42496050552922593,0.3695652173913043,0.40425531914893614,0.4188679245283019,0.37777777777777777,0.46311475409836067,0.47560975609756095,0.42348008385744235,0.40336134453781514,0.38571428571428573,0.45,0.4320388349514563,0.4971846846846847,0.4158415841584158,0.3888888888888889,0.35294117647058826
1/24/20,2,104594,0.2524797476138278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,583,304,2359,582,15121,1715,868,265,341,7249,3519,453,484,4320,1380,489,604,975,985,490,1803,2862,2553,1607,488,1471,324,482,1230,244,2100,452,7649,2823,66,2726,705,1630,3402,194,979,335,2009,12642,485,137,2218,6155,404,1124,209,0.4618937644341801,0.4383561643835616,0.44787419918462434,0.4688279301745636,0.43336632772428685,0.4714038128249567,0.4500846023688663,0.4244604316546763,0.48770491803278687,0.4445707788516202,0.44855442176870747,0.37640449438202245,0.48128342245989303,0.4813218390804598,0.4645669291338583,0.4638888888888889,0.4684466019417476,0.4648318042813456,0.44201909959072305,0.48546511627906974,0.4876595744680851,0.4935600206079341,0.445459430413756,0.46232558139534885,0.45170454545454547,0.4560878243512974,0.451063829787234,0.49216300940438873,0.4548611111111111,0.39655172413793105,0.46414073071718537,0.4536741214057508,0.4771084337349398,0.4577397910731244,0.52,0.4703196347031963,0.4610655737704918,0.4367816091954023,0.47053976102183764,0.5289855072463768,0.4463276836158192,0.42213114754098363,0.47586206896551725,0.40825591216216217,0.48623853211009177,0.44545454545454544,0.4705084745762712,0.5003829461322441,0.45126353790613716,0.484472049689441,0.4840764331210191
1/25/20,2,189463,0.20650649825024447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1084,600,4419,1079,29343,3425,1659,423,564,13315,6089,925,1039,7555,2516,899,1021,1836,1916,850,3176,5004,4492,2861,865,2586,595,865,2271,472,3762,847,13378,4916,118,4880,1306,2962,6029,375,1782,720,3463,22660,910,235,4046,10347,689,1941,353,0.4231536926147705,0.46959459459459457,0.41504854368932037,0.4386317907444668,0.4128814512726761,0.45263157894736844,0.41719342604298354,0.41139240506329117,0.47085201793721976,0.41295746785361026,0.4217898832684825,0.4449152542372881,0.4,0.431839258114374,0.4163732394366197,0.48048780487804876,0.4172661870503597,0.41927990708478513,0.3920515574650913,0.5194444444444445,0.46613255644573925,0.4738562091503268,0.4136152656008252,0.45773524720893144,0.4323607427055703,0.4349775784753363,0.4059040590405904,0.4281984334203655,0.39865513928914503,0.5131578947368421,0.42839951865222625,0.43291139240506327,0.43829638680397975,0.41471571906354515,0.4230769230769231,0.45357474466109565,0.4226289517470882,0.41066066066066065,0.43281309478492574,0.4530386740331492,0.41594022415940224,0.4779220779220779,0.40027510316368636,0.3862048313036534,0.46352941176470586,0.5,0.4349015317286652,0.4701812977099237,0.39649122807017545,0.43084455324357407,0.3888888888888889
1/26/20,5,297655,0.20304643596569064,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1619,1047,8441,1638,51612,5122,2678,619,833,20624,9067,1511,1691,10987,3844,1368,1552,2799,3129,1303,5104,7375,6849,4233,1407,3951,895,1264,3584,718,5821,1351,20512,7306,202,7607,2070,4538,9169,581,2699,1025,5078,34781,1430,403,6469,15245,1025,2997,482,0.42990654205607476,0.3691275167785235,0.4920437593237195,0.41681574239713776,0.48493421348062327,0.44077784325279906,0.4533856722276742,0.4744897959183674,0.4758364312267658,0.4051169790669038,0.4110141034251175,0.40273037542662116,0.43098159509202455,0.3913170163170163,0.42620481927710846,0.40298507462686567,0.3785310734463277,0.4288681204569055,0.4031327287716406,0.45253863134657835,0.37188796680497926,0.43399409531843103,0.41832838353839624,0.446064139941691,0.3929889298892989,0.4388278388278388,0.42333333333333334,0.45112781954887216,0.3952779893373953,0.3821138211382114,0.3856240893637688,0.4781746031746032,0.40804597701149425,0.38744769874476986,0.44047619047619047,0.4385771910524386,0.4620418848167539,0.4352791878172589,0.40732484076433123,0.441747572815534,0.42748091603053434,0.4459016393442623,0.4309597523219814,0.3642438742677997,0.3942307692307692,0.5178571428571429,0.3953776310359059,0.4499795835034708,0.44345238095238093,0.38825757575757575,0.43410852713178294
1/27/20,5,399158,0.2131168536890535,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2104,1468,12270,2161,68828,7005,3634,855,1118,27400,12061,2095,2179,14196,5055,1824,2056,3735,4201,1792,7040,10019,9080,5572,1843,5258,1219,1712,4771,1017,7866,1880,28101,9581,302,10190,2819,6104,12359,775,3549,1273,6564,45741,2001,584,9042,20772,1384,4067,636,0.40824742268041236,0.4156769596199525,0.4528597545050927,0.4321223709369025,0.4596886617100372,0.45193839617631437,0.47384937238493724,0.4533898305084746,0.49473684210526314,0.41706021251475794,0.46693386773547096,0.4674657534246575,0.42213114754098363,0.4643191025241508,0.44095788604459124,0.4758771929824561,0.4742063492063492,0.4091880341880342,0.42630597014925375,0.5112474437627812,0.46952479338842973,0.4750378214826021,0.42581801882563874,0.4458551157580284,0.45642201834862384,0.41928079571537874,0.4166666666666667,0.49107142857142855,0.44734625105307496,0.3979933110367893,0.44987775061124696,0.4725897920604915,0.4547371195150876,0.46901098901098903,0.51,0.4281842818428184,0.4098798397863818,0.438058748403576,0.4457680250783699,0.4742268041237113,0.4447058823529412,0.4475806451612903,0.4414535666218035,0.4271897810218978,0.45183887915936954,0.48066298342541436,0.44928099494753204,0.47530305771666365,0.41225626740947074,0.42149532710280374,0.43506493506493504
1/28/20,5,503996,0.12377191476373073,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2613,1899,15383,2721,87405,8836,4591,1081,1409,34718,15185,2612,2607,17349,6341,2341,2822,4634,5208,2363,9205,12667,11324,6887,2291,6582,1540,2081,5994,1379,10102,2418,35585,11918,408,13945,3782,7633,15559,973,4488,1514,8083,56658,2597,802,11468,26326,1784,5115,770,0.3516699410609037,0.41067285382830626,0.40475425634436235,0.3517857142857143,0.379878344189051,0.4046968869470235,0.3960292580982236,0.40707964601769914,0.49828178694158076,0.37318939600983875,0.3732394366197183,0.402321083172147,0.42289719626168226,0.3967649857278782,0.37636080870917576,0.4158607350096712,0.3524804177545692,0.3348164627363737,0.3733862959285005,0.425569176882662,0.45496535796766746,0.42938066465256797,0.36452762923351156,0.4129277566539924,0.37276785714285715,0.3549848942598187,0.40186915887850466,0.45257452574525747,0.32542927228127555,0.42265193370165743,0.3935599284436494,0.4070631970260223,0.4044628540887226,0.39623448866067607,0.3490566037735849,0.37656458055925435,0.3572170301142264,0.37998691955526487,0.3646875,0.40404040404040403,0.37486687965921195,0.43983402489626555,0.36142198815009874,0.34863057616561327,0.337248322147651,0.43119266055045874,0.4035449299258038,0.4368023046453007,0.3775,0.3702290076335878,0.3582089552238806
1/29/20,5,682275,0.07807986358460611,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3413,2709,20252,3682,122776,11674,5988,1458,1856,47391,20480,3800,3262,22855,8558,3079,3948,6074,7290,3151,12451,16911,15049,9311,3020,8747,2002,2688,9243,1839,13672,3262,47749,15693,541,18938,5322,10425,20584,1405,6153,1771,10534,75938,3528,1060,15277,35445,2305,6753,963,0.33,0.35185185185185186,0.3752310536044362,0.36524453694068676,0.3539905572361539,0.3653981677237491,0.38940586972083036,0.35809018567639256,0.39373601789709173,0.34317052000315634,0.33087818696883853,0.36363636363636365,0.3480916030534351,0.3652379222666182,0.35092467298150654,0.37669376693766937,0.35168738898756663,0.35347222222222224,0.3218059558117195,0.4200507614213198,0.37030191004313,0.38713477851083883,0.3323489932885906,0.33457095709570955,0.27709190672153633,0.3607390300230947,0.3463203463203463,0.37067545304777594,0.38473376423514927,0.3978260869565217,0.3596638655462185,0.4040284360189573,0.37479447550147976,0.3552317880794702,0.3157894736842105,0.3566993791307831,0.35844155844155845,0.37392550143266473,0.354228855721393,0.3912037037037037,0.33273273273273274,0.39299610894941633,0.34353325173398613,0.35036307053941906,0.3533834586466165,0.375968992248062,0.3701758991861381,0.39993420331176666,0.33013435700575816,0.3528693528693529,0.38341968911917096
1/30/20,5,879176,0.11636304538829162,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4477,3506,25056,5073,155985,15114,7676,1963,2368,62101,26392,4967,4060,29832,11123,4015,5153,7892,9475,4099,16219,22206,19559,11849,3840,11274,2577,3457,12012,2471,17841,4296,62137,20454,706,24641,6933,13420,26645,1829,8083,2048,13707,95644,4670,1363,19830,46246,2940,8790,1162,0.42951127819548873,0.410288582183187,0.3857202331390508,0.43350107836089147,0.36547321509229425,0.38633720930232557,0.3773696682464455,0.3564356435643564,0.451171875,0.39150237933378657,0.3810893098782138,0.36246786632390743,0.36466165413533835,0.37953275046581625,0.397270955165692,0.3888888888888889,0.3767634854771784,0.38173817381738173,0.3734553775743707,0.4040084388185654,0.3606687898089172,0.38092540132200187,0.3902439024390244,0.3881008668242711,0.3951219512195122,0.4174910961614563,0.391304347826087,0.40182054616384916,0.3474178403755869,0.43037974683544306,0.37946749820100745,0.40135396518375244,0.38261050875729774,0.38731358958202056,0.3515151515151515,0.39119761529019814,0.3786468032278088,0.384974958263773,0.37799043062200954,0.38443396226415094,0.40310880829015544,0.41155234657039713,0.3955247399936968,0.3747589566629453,0.37390542907180385,0.37623762376237624,0.3861190423896332,0.4034811591519304,0.4078740157480315,0.40402552773686795,0.45226130653266333
1/31/20,7,1061754,0.10910953126882761,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5491,4135,29592,6244,186232,18302,9439,2403,2859,75887,32102,5983,4859,35919,13540,4859,6220,9648,11578,4992,19401,26719,23766,14315,4588,13648,3128,4242,14480,2960,21417,5108,75862,24666,876,29897,8597,16311,32473,2243,9894,2302,16763,114231,5704,1662,24186,56276,3608,10763,1384,0.40927021696252464,0.38791732909379967,0.4087301587301587,0.4227156276686593,0.38860052236585446,0.4096612296110414,0.4140669313669881,0.42727272727272725,0.3869653767820774,0.3893805309734513,0.3966725043782837,0.3868110236220472,0.3579474342928661,0.37424018399868575,0.38601572196938355,0.3933649289099526,0.3992502343017807,0.41116173120728927,0.3799334284355682,0.4087346024636058,0.3890634820867379,0.38998448925326834,0.3884002852388876,0.3929440389294404,0.3609625668449198,0.4014321819713564,0.40834845735027225,0.4012738853503185,0.38290113452188007,0.4335378323108384,0.3959731543624161,0.3793103448275862,0.3834608378870674,0.4017094017094017,0.31176470588235294,0.4003044140030441,0.40564903846153844,0.38049117952265654,0.3924159231297186,0.35990338164251207,0.4102705687465489,0.43700787401574803,0.4028141361256545,0.37913595523753163,0.38878143133462284,0.43478260869565216,0.3957759412304867,0.4033898305084746,0.37425149700598803,0.39584389254941715,0.4144144144144144
