date,tweets,cases,cases_daily,tweets_daily
1/22/20,5070,1,1,5070
1/23/20,29788,1,0,24718
1/24/20,104594,2,1,74806
1/25/20,189463,2,0,84869
1/26/20,297655,5,3,108192
1/27/20,399158,5,0,101503
1/28/20,503996,5,0,104838
1/29/20,682275,5,0,178279
1/30/20,879176,5,0,196901
1/31/20,1061754,7,2,182578
2/1/20,1120017,8,1,58263
2/2/20,1225177,8,0,105160
2/3/20,1331975,11,3,106798
2/4/20,1425755,11,0,93780
2/5/20,1543147,11,0,117392
2/6/20,1630998,11,0,87851
2/7/20,1791374,11,0,160376
2/8/20,1891410,11,0,100036
2/9/20,2029934,11,0,138524
2/10/20,2205620,11,0,175686
2/11/20,2372125,12,1,166505
2/12/20,2528807,12,0,156682
2/13/20,2661753,13,1,132946
2/14/20,2754229,13,0,92476
2/15/20,2877523,13,0,123294
2/16/20,2973001,13,0,95478
2/17/20,3141665,13,0,168664
2/18/20,3239993,13,0,98328
2/19/20,3391041,13,0,151048
2/20/20,3504450,13,0,113409
2/21/20,3658804,15,2,154354
2/22/20,3727729,15,0,68925
2/24/20,3851639,15,0,123910
2/25/20,3969748,15,0,118109
2/26/20,4191936,15,0,222188
2/27/20,4462109,16,1,270173
2/28/20,5103277,16,0,641168
2/29/20,6132649,24,8,1029372
3/1/20,6486378,30,6,353729
3/2/20,6575604,53,23,89226
3/3/20,6970782,73,20,395178
3/4/20,7345866,104,31,375084
3/5/20,7428800,172,68,82934
3/6/20,7545703,217,45,116903
3/7/20,7660453,336,119,114750
3/8/20,7765907,450,114,105454
3/9/20,7849529,514,64,83622
3/10/20,7913275,708,194,63746
3/11/20,8011236,1105,397,97961
3/12/20,8081992,1557,452,70756
3/13/20,8180677,2147,590,98685
3/14/20,8264723,2857,710,84046
3/15/20,8333665,2918,61,68942
3/16/20,8418660,4307,1389,84995
3/17/20,8505408,6096,1789,86748
3/18/20,8577648,8873,2777,72240
3/19/20,8650100,14094,5221,72452
3/20/20,8760764,19403,5309,110664
3/21/20,8833073,25725,6322,72309
3/22/20,8907039,33634,7909,73966
3/23/20,8983667,43663,10029,76628
3/24/20,9068545,53736,10073,84878
3/25/20,9171865,65778,12042,103320
3/26/20,9250402,83836,18058,78537
3/27/20,9331721,101657,17821,81319
3/28/20,9414189,121465,19808,82468
3/29/20,9518121,140909,19444,103932
3/30/20,9629617,161831,20922,111496
3/31/20,9733078,188172,26341,103461
4/1/20,9862234,213242,25070,129156
4/2/20,9985926,243622,30380,123692
4/3/20,10101789,275367,31745,115863
4/4/20,10221363,308650,33283,119574
4/5/20,10338033,336802,28152,116670
4/6/20,10458544,366317,29515,120511
4/7/20,10588890,397121,30804,130346
4/8/20,10714251,428654,31533,125361
4/9/20,10833548,462780,34126,119297
4/10/20,10946754,496535,33755,113206
4/11/20,11052472,526396,29861,105718
4/12/20,11150165,555313,28917,97693
4/13/20,11258003,580619,25306,107838
4/14/20,11368530,607670,27051,110527
4/15/20,11483637,636350,28680,115107
4/16/20,11601714,667592,31242,118077
4/17/20,11696710,699706,32114,94996
4/18/20,11803450,727959,28253,106740
4/19/20,11914743,754376,26417,111293
4/20/20,12036379,779682,25306,121636
4/21/20,12154141,807023,27341,117762
4/22/20,12278758,835150,28127,124617
4/23/20,12405864,869170,34020,127106
4/24/20,12522221,905358,36188,116357
4/25/20,12637084,938154,32796,114863
4/26/20,12744041,965785,27631,106957
4/27/20,12852705,988197,22412,108664
4/28/20,12962179,1012582,24385,109474
4/29/20,13074785,1039909,27327,112606
4/30/20,13175588,1069424,29515,100803
5/1/20,13272241,1103461,34037,96653
5/2/20,13374216,1132539,29078,101975
5/3/20,13486117,1158040,25501,111901
5/4/20,13601803,1180375,22335,115686
5/5/20,13724102,1204351,23976,122299
5/6/20,13848764,1229331,24980,124662
5/7/20,13967566,1257023,27692,118802
5/8/20,14067296,1283929,26906,99730
