,date,cases_daily,tweets_daily,cases_total,tweets_total,sentiment_afn,sentiment_ensemble,sentiment_textblob,sentiment_vader
0,1/22/20,1,5070,1,5070,-0.22998027613412225,-0.16863905325443784,0.4169625246548324,-0.05226824457593693
1,1/23/20,0,24718,1,29788,-0.4714378185937374,-0.40432073792378026,0.19495913908892307,-0.26413949348652804
2,1/24/20,1,74806,2,104594,-0.2063738202817956,-0.1343074084966447,0.2524797476138278,0.007633077560623479
3,1/25/20,0,84869,2,189463,-0.29681037834780666,-0.2209876397742403,0.20650649825024447,-0.056722713829549076
4,1/26/20,3,108192,5,297655,-0.2497042295178941,-0.19799060928719314,0.20304643596569066,-0.09038561076604552
5,1/27/20,0,101503,5,399158,-0.3931312375003694,-0.2740116055683084,0.2131168536890535,-0.1189028895697664
6,1/28/20,0,104838,5,503996,-0.3615101394532517,-0.26700242278563113,0.12377191476373073,-0.1444419008374826
7,1/29/20,0,178279,5,682275,-0.29221052395402713,-0.17675104751541126,0.07807986358460611,-0.061420582345649226
8,1/30/20,0,196901,5,879176,-0.2684089974149446,-0.21610352410602285,0.11636304538829162,-0.14198505848116566
9,1/31/20,2,182578,7,1061754,-0.2573858843891378,-0.19646397703995008,0.1091095312688276,-0.09477593138275148
10,2/1/20,1,58263,8,1120017,-0.2668245713403017,-0.18418207095412187,0.13298319688309904,-0.08023960317868978
11,2/2/20,0,105160,8,1225177,-0.2479650057055915,-0.2108596424496006,0.19294408520349945,-0.13824648155192087
12,2/3/20,3,106798,11,1331975,-0.1526994887544711,-0.11445907226727092,0.17744714320492894,-0.04464503080582033
13,2/4/20,0,93780,11,1425755,-0.20364683301343567,-0.18433567924930688,0.15189805928769462,-0.11791426743442103
14,2/5/20,0,117392,11,1543147,-0.1952432874471855,-0.17077824724001633,0.17343600926809324,-0.1069238108218618
15,2/6/20,0,87851,11,1630998,-0.2944189593743953,-0.2463603146236241,0.08672638899955609,-0.16982162980501075
16,2/7/20,0,160376,11,1791374,-0.19741108395271112,-0.14646829949618395,0.16620940789145505,-0.07266673317703393
17,2/8/20,0,100036,11,1891410,-0.2493502339157903,-0.1646007437322564,0.11870726538446165,-0.10277300171938104
18,2/9/20,0,138524,11,2029934,-0.2759377436400913,-0.20039848690479628,0.044411076780918816,-0.13560105108140105
19,2/10/20,0,175686,11,2205620,-0.30395136778115506,-0.2491945857951117,0.03780608585772344,-0.17530138997985045
20,2/11/20,1,166505,12,2372125,-0.3668538482327859,-0.3458154409777484,0.03379478093750937,-0.2811627278460106
21,2/12/20,0,156682,12,2528807,-0.29402228718040363,-0.2507882207273331,0.1833012088178604,-0.16609438225194986
22,2/13/20,1,132946,13,2661753,-0.2789102342304394,-0.23744226979375085,0.19333413566410426,-0.1408767469498894
23,2/14/20,0,92476,13,2754229,-0.21191444266620527,-0.16190146632639818,0.10403780440330462,-0.08819585622215492
24,2/15/20,0,123294,13,2877523,-0.2143981053417036,-0.15634175223449634,0.13126348403004204,-0.08916897821467384
25,2/16/20,0,95478,13,2973001,-0.1902218312071891,-0.12869980519072455,0.08470014034646722,-0.07027796979408868
26,2/17/20,0,168664,13,3141665,-0.24575487359483944,-0.19200303562111654,0.14671773466774174,-0.1175117393160366
27,2/18/20,0,98328,13,3239993,-0.3039927589292979,-0.252949312505085,0.0493755593523717,-0.21133349605402324
28,2/19/20,0,151048,13,3391041,-0.28228112917748005,-0.25271436894232296,0.08348339600656746,-0.19101212859488376
29,2/20/20,0,113409,13,3504450,-0.2137131973652885,-0.1431456057279405,0.21820137731573333,-0.06600005290585402
30,2/21/20,2,154354,15,3658804,-0.2544929188747943,-0.22566308615261024,0.2292004094484108,-0.17452090648768415
31,2/22/20,0,68925,15,3727729,-0.2569459557490026,-0.21902067464635475,0.1916430903155604,-0.15587957925281104
32,2/24/20,0,123910,15,3851639,-0.24182067629731255,-0.2089903962553466,0.13211201678637718,-0.15517714470179972
33,2/25/20,0,118109,15,3969748,-0.3082999602062501,-0.2621984776773997,0.12132860323938055,-0.19443056837328224
34,2/26/20,0,222188,15,4191936,-0.278097827065368,-0.23137163123120966,0.1042630565107026,-0.1514573244279619
35,2/27/20,1,270173,16,4462109,-0.2890370244250906,-0.25058758647237145,0.06032801205153737,-0.15494886609690828
36,2/28/20,0,641168,16,5103277,-0.27783045941157386,-0.21628652708806428,0.09581888054300897,-0.13190614628303346
37,2/29/20,8,1029372,24,6132649,-0.3554031001426112,-0.30684631017746744,0.12997244922146706,-0.2418241413211161
38,3/1/20,6,353729,30,6486378,-0.3168612129624657,-0.27399506401793466,0.2067967285690458,-0.20478671525376774
39,3/2/20,23,89226,53,6575604,-0.2639253132495013,-0.18894716786586868,0.20435747427879766,-0.09167731378746108
40,3/3/20,20,395178,73,6970782,-0.1928624569181483,-0.15271599127481789,0.20317173526866375,-0.059120193937921624
41,3/4/20,31,375084,104,7345866,-0.13746520779345428,-0.08959859658103253,0.11926661761098845,-0.03164357850508154
42,3/5/20,68,82934,172,7428800,-0.1832541539055152,-0.1073263076663371,0.0991631900065112,-0.04292569995418039
43,3/6/20,45,116903,217,7545703,-0.2453829243047655,-0.19665021428021526,0.12027920583731815,-0.11477036517454647
44,3/7/20,119,114750,336,7660453,-0.2652374727668845,-0.2141089324618736,0.11898910675381265,-0.13431808278867108
45,3/8/20,114,105454,450,7765907,-0.17093709105391924,-0.12780928177214712,0.13929296186014756,-0.09225823581846117
46,3/9/20,64,83622,514,7849529,-0.19533137212695226,-0.16099830188227982,0.10310683791346777,-0.10493649996412424
47,3/10/20,194,63746,708,7913275,-0.16088852633890754,-0.10907351049477616,0.16611238352210336,-0.0489285602233866
48,3/11/20,397,97961,1105,8011236,-0.1594001694551913,-0.122987719602699,0.13403293147272896,-0.06913975970028885
