date,tweet_us,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/22/20,5070,21,15,94,22,607,125,41,22,19,277,282,16,15,140,52,22,26,57,40,20,161,208,97,108,26,77,8,30,52,8,109,34,423,134,3,122,33,76,180,11,27,9,82,433,18,7,125,462,26,67,1
1/23/20,29788,150,85,642,181,4008,561,277,126,97,1972,1167,97,110,840,364,129,192,321,252,146,628,921,692,532,136,469,89,163,366,70,622,139,2254,717,16,755,217,499,975,56,271,91,559,3170,158,27,743,2238,127,319,52
1/24/20,104594,583,304,2359,582,15121,1715,868,265,341,7249,3519,453,484,4320,1380,489,604,975,985,490,1803,2862,2553,1607,488,1471,324,482,1230,244,2100,452,7649,2823,66,2726,705,1630,3402,194,979,335,2009,12642,485,137,2218,6155,404,1124,209
1/25/20,189463,1084,600,4419,1079,29343,3425,1659,423,564,13315,6089,925,1039,7555,2516,899,1021,1836,1916,850,3176,5004,4492,2861,865,2586,595,865,2271,472,3762,847,13378,4916,118,4880,1306,2962,6029,375,1782,720,3463,22660,910,235,4046,10347,689,1941,353
1/26/20,297655,1619,1047,8441,1638,51612,5122,2678,619,833,20624,9067,1511,1691,10987,3844,1368,1552,2799,3129,1303,5104,7375,6849,4233,1407,3951,895,1264,3584,718,5821,1351,20512,7306,202,7607,2070,4538,9169,581,2699,1025,5078,34781,1430,403,6469,15245,1025,2997,482
1/27/20,399158,2104,1468,12270,2161,68828,7005,3634,855,1118,27400,12061,2095,2179,14196,5055,1824,2056,3735,4201,1792,7040,10019,9080,5572,1843,5258,1219,1712,4771,1017,7866,1880,28101,9581,302,10190,2819,6104,12359,775,3549,1273,6564,45741,2001,584,9042,20772,1384,4067,636
1/28/20,503996,2613,1899,15383,2721,87405,8836,4591,1081,1409,34718,15185,2612,2607,17349,6341,2341,2822,4634,5208,2363,9205,12667,11324,6887,2291,6582,1540,2081,5994,1379,10102,2418,35585,11918,408,13945,3782,7633,15559,973,4488,1514,8083,56658,2597,802,11468,26326,1784,5115,770
1/29/20,682275,3413,2709,20252,3682,122776,11674,5988,1458,1856,47391,20480,3800,3262,22855,8558,3079,3948,6074,7290,3151,12451,16911,15049,9311,3020,8747,2002,2688,9243,1839,13672,3262,47749,15693,541,18938,5322,10425,20584,1405,6153,1771,10534,75938,3528,1060,15277,35445,2305,6753,963
1/30/20,879176,4477,3506,25056,5073,155985,15114,7676,1963,2368,62101,26392,4967,4060,29832,11123,4015,5153,7892,9475,4099,16219,22206,19559,11849,3840,11274,2577,3457,12012,2471,17841,4296,62137,20454,706,24641,6933,13420,26645,1829,8083,2048,13707,95644,4670,1363,19830,46246,2940,8790,1162
1/31/20,1061754,5491,4135,29592,6244,186232,18302,9439,2403,2859,75887,32102,5983,4859,35919,13540,4859,6220,9648,11578,4992,19401,26719,23766,14315,4588,13648,3128,4242,14480,2960,21417,5108,75862,24666,876,29897,8597,16311,32473,2243,9894,2302,16763,114231,5704,1662,24186,56276,3608,10763,1384
2/01/20,1120017,5850,4372,31035,6561,195073,19271,9972,2566,3021,80887,33932,6292,5143,37591,14391,5122,6551,10135,12097,5313,20347,28663,25133,15093,4839,14282,3301,4457,15151,3163,22879,5370,80524,26098,976,31535,9079,17188,34404,2408,10553,2406,17798,120117,6097,1750,25686,58944,3823,11338,1440
2/02/20,1225177,6644,4822,33537,7195,212177,21081,10986,2850,3319,89445,37184,6908,5671,40645,15693,5534,7185,11051,13255,5853,22071,31857,27407,16523,5425,15502,3685,4919,16519,3521,25197,5876,89170,28574,1104,34491,9975,18762,37654,2664,11615,2558,19582,130711,6677,1932,27930,64024,4173,12406,1638
2/03/20,1331975,7311,5233,35857,7856,229133,22966,12021,3104,3601,97772,40379,7470,6198,43840,17078,5920,7739,12044,14411,6454,24227,34769,29902,17931,6010,16807,4096,5350,18008,3831,27511,6430,98175,31162,1236,37426,10772,20422,41031,2868,12622,2684,21220,141653,7262,2170,30335,69940,4509,13464,1765
2/04/20,1425755,7866,5521,37964,8409,244415,24675,12997,3347,3838,104859,43113,8027,6544,46774,18174,6267,8195,12854,15275,6941,25969,37141,32010,20220,6473,17906,4499,5811,19190,4068,29558,6991,105920,33173,1309,39979,11456,21844,44079,3032,13489,2825,22855,150917,7818,2382,32336,75416,4803,14326,1905
2/05/20,1543147,8520,5965,40622,9089,264071,26749,14119,3603,4198,113489,46567,8735,7070,50164,19540,6799,8843,13834,16433,7555,28179,40099,34634,22490,6977,19304,4923,6599,20582,4422,32170,7655,115062,35611,1419,43183,12436,23562,47811,3260,14587,2977,24833,162351,8560,2676,34888,82788,5133,15970,2041
2/06/20,1630998,8960,6359,42593,9549,279713,28157,15041,3782,4428,120113,49200,9221,7425,52790,20486,7197,9245,14594,17306,7984,29628,42291,36531,23681,7388,20365,5256,7053,21604,4629,34091,8117,121695,37504,1494,45318,13112,25025,50554,3450,15487,3101,26310,171410,9155,2869,36917,88053,5472,17093,2202
2/07/20,1791374,9908,6997,46287,10377,304891,30785,16535,4176,4922,133105,54450,10095,8095,57728,22280,7889,10063,15998,19144,8744,32608,46233,40081,25769,8080,22409,5746,7907,23392,5111,38131,8847,133955,41204,1638,49564,14462,27457,55780,3822,17139,3369,29150,189164,10047,3265,40781,96603,5978,18783,2430
2/08/20,1891410,10572,7435,48754,11111,320772,32311,17377,4409,5164,141051,57931,10659,8535,60888,23496,8280,10527,16926,20267,9158,34467,48448,42225,26959,8655,23707,6126,8535,24713,5355,40425,9335,140862,44369,1724,52148,15445,28830,58854,3991,18124,3650,30867,200903,10689,3473,42983,101257,6302,19728,2638
2/09/20,2029934,11584,8261,52312,12025,341656,34797,18477,4695,5456,152727,62255,11535,9325,64912,25308,8984,11283,18364,21615,9756,36397,51616,45553,28873,9373,25535,6778,9157,26445,5811,43515,9959,150556,48287,1866,55822,16811,31100,63040,4315,19608,4020,33551,216715,11527,3789,46121,107477,6796,21318,2876
2/10/20,2205620,12738,8991,56920,13093,367932,38207,20043,5107,5910,166991,67469,12573,10087,70294,27564,9796,12225,20058,23129,10676,39295,55866,49931,31379,10167,28201,7672,9843,28527,6341,47177,10881,162720,53189,2016,60524,18535,34196,69072,4719,21456,4436,36691,235193,12717,4309,49935,116877,7374,23454,3124
2/11/20,2372125,13875,9788,61196,14157,393452,41428,21549,5475,6330,179630,72486,13396,10932,75150,29749,10640,13198,21722,24905,11586,42102,59852,53928,34052,10846,30634,8480,10606,30441,6911,50496,11797,174241,57430,2169,65317,20224,37347,74612,5141,23175,4954,39677,252004,13882,4693,54190,125530,7956,25407,3387
2/12/20,2528807,14845,10460,64824,15133,416898,44490,22981,5855,6708,192156,78266,14136,11676,79474,31537,11282,14058,23278,26647,12398,44872,63658,57468,36480,11588,32942,9094,11334,32393,7349,53814,12535,185759,61214,2305,69283,21774,40065,79768,5505,24711,5264,42651,269190,14826,5057,57704,134018,8440,27017,3627
2/13/20,2661753,15650,10974,67841,15948,436101,46950,24187,6216,7026,203082,82766,14749,12310,83320,33228,11896,14757,24641,27862,12999,46994,66906,60448,38826,12192,34829,9640,11965,34067,7706,56589,13091,195356,64518,2443,73062,23030,42097,84202,5741,26090,5685,45206,284828,15690,5384,60928,140684,8861,28384,3808
2/14/20,2754229,16138,11310,69783,16569,451359,48721,25059,6447,7289,210092,85649,15434,12843,85972,34274,12295,15288,25335,28745,13445,48801,69396,62422,40038,12550,35904,10090,12427,35140,8023,58382,13531,202073,66467,2510,75563,23679,43759,87245,5907,26913,5775,46922,294967,16459,5667,63034,146126,9175,29260,3977
2/15/20,2877523,16888,11882,72693,17441,471219,51163,26247,6731,7615,219788,89413,16480,13421,89376,35666,12819,16006,26429,29967,14115,50695,72588,64946,41862,13034,37542,10618,13031,36694,8377,60992,14117,211337,69495,2586,78899,24751,45935,91383,6109,28037,6147,48922,307591,17241,6121,65834,153114,9551,30450,4165
2/16/20,2973001,17477,12272,75006,18168,485902,52842,27168,6999,7828,227758,92419,17120,13928,92133,36760,13254,16510,27389,30970,14546,52665,74831,67289,43198,13535,38807,11018,13375,37884,8665,63044,14672,218360,72311,2666,81351,25494,47601,94550,6280,29040,6372,50665,317218,17935,6429,67835,157891,9788,31429,4354
2/17/20,3141665,18529,13072,78750,19382,511782,56228,28816,7425,8320,241448,97945,18012,14674,97155,38852,14014,17504,29035,32620,15380,55321,78727,71011,45456,14217,41181,11786,14339,40320,9211,66456,15508,231278,76183,2796,85777,26896,50815,99712,6592,30636,6746,53523,335752,19065,6891,71725,166597,10336,33345,4524
2/18/20,3239993,19126,13485,81434,19970,528014,58085,29712,7666,8579,249237,101342,18657,15140,100145,40051,14458,18028,29899,33666,15763,56820,81106,73119,46677,14662,42422,12171,14763,41629,9521,68607,15936,238473,78342,2890,88227,27591,52508,102717,6762,31653,6894,55301,346378,19708,7179,74003,171865,10711,34263,4638
2/19/20,3391041,20106,14095,84942,20952,550670,60735,31100,7972,9025,261537,106514,19357,15756,104389,41891,15202,18960,31235,35264,16531,59400,84678,76423,48495,15326,44554,12707,15519,43569,9987,71875,16640,249815,82174,3026,92185,28843,54960,107581,7026,33259,7308,58077,363582,20718,7625,77771,179787,11227,35843,4828
2/20/20,3504450,20734,14605,87626,21566,567223,62810,32160,8225,9358,270355,110207,20088,16292,107801,43237,15672,19640,32320,36230,17091,61307,87421,78828,50377,15850,46153,13109,16119,45155,10321,74122,17193,258261,84750,3141,95064,29711,56846,111176,7298,34329,7672,60148,375449,21563,8034,80853,187530,11496,36949,4985
2/21/20,3658804,21570,15229,91360,22462,590863,65992,33590,8579,9894,281807,115519,20874,16932,112539,45127,16500,20602,33670,37666,17957,63947,91197,82652,52757,16380,48237,13759,17009,46981,10777,76932,18031,269539,88320,3269,99172,30873,59782,116324,7648,35827,8200,62764,391035,22537,8616,84807,196870,12008,38667,5155
2/22/20,3727729,22096,15546,93165,22852,602152,67322,34305,8718,10071,287248,117762,21304,17263,114549,45912,16805,21031,34398,38269,18362,64927,92745,84305,53738,16736,49318,14057,17281,47872,10939,78285,18413,274245,89959,3340,100951,31511,61077,118586,7791,36506,8373,63985,397672,23003,8902,86588,200654,12194,39420,5226
2/24/20,3851639,23038,16084,96413,23490,621560,70018,35445,9070,10405,297156,121816,21928,17861,118305,47444,17391,21765,35630,39445,19018,66833,95887,87399,55648,17240,51096,14513,17797,49452,11297,80905,19049,282941,92957,3430,104085,32511,63491,122312,8039,37790,8561,66191,409530,23907,9164,89474,208160,12572,40712,5414
2/25/20,3969748,23863,16587,99581,24268,639507,72725,36718,9378,10756,306161,125036,22521,18444,122041,49020,18050,22682,36904,40459,19690,68857,98772,90442,57506,17699,52850,15052,18335,50840,11725,83253,19737,290562,96061,3568,107425,33448,66114,126183,8272,39092,8783,68309,419994,24652,9429,92540,214925,13012,42341,5579
2/26/20,4191936,25421,17453,105365,25874,671471,77861,38972,10076,11426,324499,131316,23561,19556,128851,52144,19356,24316,39232,42697,20946,72423,104292,96106,60860,18611,56408,15830,19485,53460,12537,87819,20965,305084,101561,3804,114049,35444,70706,133885,8818,41632,9079,72721,440210,26002,9979,97978,226849,13804,45281,5861
2/27/20,4462109,27198,18386,112442,27607,712467,83998,41810,10915,12014,345493,138772,24692,20752,137483,56547,20933,26367,42094,45246,22436,76888,110934,103249,65013,19715,60592,16911,20762,56548,13532,93178,22288,322388,108634,4120,122523,37673,76546,143372,9551,44399,9423,77913,464854,27685,10694,104731,240476,14839,48778,6248
2/28/20,5103277,31508,20940,131390,31915,818583,98594,47780,12713,13312,392963,155482,27696,24224,156915,65411,24765,30745,48396,51872,25342,86656,124908,119043,75485,22339,70476,19473,24128,64672,15858,105108,26168,360852,124580,4702,140867,43365,91934,164040,10943,50967,10193,90513,527142,32279,12482,119553,272786,16953,56902,7364
2/29/20,6132649,37908,24535,159032,38625,966406,121694,58327,15328,15346,472899,183161,31833,28858,189223,79490,30877,37779,59580,61624,30597,104524,150946,146267,92537,26268,86348,23536,29304,77230,19461,126178,31918,424560,152312,5759,172219,51907,121951,200935,13562,62160,11625,110829,620506,39626,14968,145022,327017,20977,70310,8765
3/01/20,6486378,40319,25858,168483,41080,1015814,128944,61803,16313,15915,501945,193797,33381,30554,199893,84345,32820,40173,63005,65403,32270,110506,159076,155364,97960,27675,91832,24907,31065,81465,20735,133492,33651,446278,162175,6064,182494,55064,129862,213129,14708,66285,12054,117708,656469,42094,15845,153574,346359,22419,74652,9302
3/02/20,6575604,40864,26162,170609,41588,1028271,130644,62695,16538,16115,509987,196417,33762,31022,202544,85505,33242,40700,63775,66431,32661,112056,161070,157439,99180,28047,93104,25173,31471,82465,21002,135489,34080,453408,164448,6143,184887,55750,131718,215886,15015,67263,12191,119432,665817,42612,16018,155545,351598,22692,75663,9410
3/03/20,6970782,43227,27373,180910,43545,1083442,138655,66488,17683,17003,541186,209647,35498,32833,214426,90425,35385,43148,67392,70511,34378,118977,170611,166968,104642,29512,98442,26585,33043,87044,22251,143381,36054,482703,176422,6496,196569,58829,140476,228949,16152,71604,12825,126418,704210,45099,16942,164608,377192,24017,80535,10071
3/04/20,7345866,45346,28499,190396,45829,1138541,146120,69974,18716,17786,570258,221774,37131,34531,226126,95380,37264,45441,70828,74607,35821,125625,179271,175968,109592,31047,103432,27797,34698,91566,23498,151164,37825,510316,187029,6862,207681,61875,147849,241296,17147,75647,13250,133051,741883,47646,17667,173715,400309,25440,84790,10562
3/05/20,7428800,45808,28757,192320,46260,1152258,147852,70808,18929,17931,576520,224311,37515,34842,228688,96412,37709,45949,71573,75555,36151,127051,181216,177870,110850,31366,104496,28030,35026,92646,23756,153073,38213,516122,189222,6933,210047,62550,149400,243862,17368,76510,13359,134568,750486,48199,17842,175512,405089,25717,85633,10640
3/06/20,7545703,46360,29103,195087,46804,1171160,150726,71951,19226,18217,584534,227561,38035,35257,232196,98067,38378,46671,72796,76704,36691,129948,184233,180617,112681,31777,105962,28369,35614,94282,24105,155412,38757,524416,192045,7030,213332,63436,151848,247793,17632,77571,13506,136663,761283,48929,18102,178245,412821,26121,86887,10762
3/07/20,7660453,46860,29471,197744,47390,1189062,153319,73208,19563,18512,592915,230796,38591,35727,235662,99549,39019,47382,74001,77920,37178,132417,187216,183464,114608,32172,107447,28740,36173,95745,24468,157817,39302,532552,195031,7130,216670,64348,154229,251485,17929,78750,13637,138555,771969,49714,18337,180984,420063,26486,88261,10885
3/08/20,7765907,47335,29847,200280,47971,1206851,155562,74123,19909,18785,600646,233783,39129,36171,238863,100858,39584,48100,75089,79057,37660,134460,189724,185984,116183,32545,109092,29040,36706,97079,24833,159988,39828,539983,197711,7207,219536,65094,156476,254803,18156,79763,13746,140386,781858,50397,18626,183654,426132,26819,89490,11005
3/09/20,7849529,47758,30111,202460,48515,1220132,157156,74929,20149,18953,606865,236174,39501,36504,241577,101991,40065,48635,75964,79884,38075,136006,191764,188132,117487,32815,110417,29348,37124,98028,25106,161759,40256,546075,199778,7276,221904,65787,158063,257579,18357,80645,13828,141871,789689,50992,18811,185660,430875,27102,90500,11097
3/10/20,7913275,48098,30283,203964,48905,1229943,158511,75628,20329,19127,611431,238225,39733,36719,243742,102828,40442,49013,76631,80673,38342,137316,193678,189581,118362,33063,111350,29522,37417,98686,25295,163238,40545,550792,201476,7331,224125,66255,159246,259791,18539,81256,13918,143174,795523,51370,18958,187088,434098,27324,91238,11153
