screen_name,created_at,location,state_abb,state,source,hashtags,text
munn_dayle,2020-04-21 22:24:59,"Georgia, USA",GA,Georgia,Twitter for Android,,Coronavirus Panel Recommends Against Use Of Hydroxychloroquine And Azithromycin : Coronavirus Live Updates : NPR https://t.co/60Epnpz8eJ
blake31,2020-04-21 22:24:59,"Clemson, SC",SC,South Carolina,Twitter for iPhone,,"I swear once all this covid stuff is over I’m going back to church, that’s all I’ve wanted to do the past few weeks and I can’t"
thatsopheven,2020-04-21 22:24:59,"Detroit, MI",MI,Michigan,Twitter for iPhone,,I will retweet any information about injustice toward Black people in China until a major news outlet investigates and airs what’s going on. COVID-19 ORIGINATED IN CHINA...and now they’re treating Black people like subhumans as a result?!?! Any excuse to be racist. https://t.co/EhNPPzEMD7
BugKlr,2020-04-21 22:24:59,"West Virginia, USA",WV,West Virginia,Twitter for Android,,"No Police Raids? Syracuse Mosque Continues Holding Daily Prayers Amid COVID-19 Lockdown As Christians Are Threatened and Fined For Attending Drive-In Services

Christians are fined if they attend church in their cars! 
⁦@realDonaldTrump⁩  https://t.co/a1F3iqbqfl"
TrewStories,2020-04-21 22:24:59,"Maine, USA",ME,Maine,Twitter Web App,,"If half of all US COVID-19 deaths were in Wyoming, would NYC be willing to shut down?"
dreamdisaster34,2020-04-21 22:24:59,USA,,,Twitter for iPhone,,"As best I can understand, this is where we’re at:

-Trump refuses to organize a COVID response bc he says it’s up to states and hospitals

-But he opposes funding for states

-And when funding is approved for hospitals, it’s a “concession” to Democrats

Do I have that right?"
FloydPendergra3,2020-04-21 22:24:59,"California, USA",CA,California,Twitter Web Client,COVIDー19,"#COVIDー19 The data showed that 9 of 10 patients had an underlying medical condition, including:
—Hypertension: 49.7%
—Diabetes: 28.3%
—Chronic lung disease: 34.6%
—Cardiovascular disease: 27.8%
—Obesity: 48.3% https://t.co/YjabN89Bwc"
johnolsen727,2020-04-21 22:24:58,"Marion, IL",IL,Illinois,Twitter Web App,,"BREAKING: The Senate has passed a roughly $480 billion relief package that includes hundreds of billions of dollars for small businesses hurt by the COVID-19 outbreak, as well as money for hospitals and expanded testing. https://t.co/XxJqrLfYuL"
HeyLannyCamden,2020-04-21 22:24:58,America FL & MO,FL,Florida,Twitter for Android,,"President Trump says his announced executive order suspending immigration into the U.S. will last for 60 days, with possible extensions after that, and will apply only to people seeking permanent residency, not to temporary visitors https://t.co/9T8aUPjUrs https://t.co/exTh9m0aj3"
javilucena2,2020-04-21 22:24:58,"Plantation, FL",FL,Florida,Twitter for iPhone,,still suffering from covid-420
ChiMedSoc,2020-04-21 22:24:58,"Chicago, IL",IL,Illinois,Twitter Web App,,"@tomhanks chats with @NPR's @waitwait to discuss recovery from COVID-19, antibodies, plasma donation, and more. Listen here: https://t.co/AwsKkU61X8 https://t.co/UO7VtNJNs4"
CBJ_Rotary,2020-04-21 22:24:58,"Lake Norman, NC",NC,North Carolina,Twitter for iPhone,,Serving the people who need it most is one of our biggest challenges. We’ve developed a COVID-19 Relief and Resilience Plan to continue our efforts to distribute food and empower communities around the world! Visit https://t.co/jw7aGyzxvS to learn more. #Give4COVIDRelief https://t.co/DbmLqULavm
